# ref_application_id 451257172939091
ID	inventory	description	condition	gtin	mpn	title	short_description	availability	price	link	image_link	brand	item_group_id	custom_label_0	custom_label_1	product_type	additional_image_link	sale_price	shipping_weight	shipping_length	shipping_height	product_dimensions	google_product_category
11827	5	"      
Con nuestros geles con extractos botánicos y minerales tu cuerpo lucirá su belleza natural. Regálate amor y cuidado, acompaña tus momentos de actividad física con los geles corporales y permite que la energía del poder natural habite en ti.
Ideal para estilizar tu figura.
Ingredientes principales:

Extracto oleoso de Caléndula.
Aceite esencial de Naranja.
Extracto de Aloe vera.
Algas marinas.
Naranja.
Toronja.
Alcachofa.
Eucalipto.
Toronja.

¿Cómo se usa?
Aplicar una capa gruesa sobre la zona en la cual se desea el efecto reductor; realizar masajes de forma circular hasta que el gel desaparezca. Acompañar de actividad física.
Nuestros productos:

No contaminan el agua.
Son 100% biodegradables.
Agroecológicos.
Naturales.
No contienen parabenos.
No son testados en animales.

¡Atrévete a conocer el poder natural!
"	new	11827	11827	"Gel con Extractos Botánicos y Minerales Caliente 280ML"	"     "	"in stock"	"32900 COP"	https://naturalconexion.com/product/gel-caliente-280gr/	https://naturalconexion.com/wp-content/uploads/2020/12/DSC09578.jpg	"Natural Conexión"	11827		"descuento 15 dia sin iva"	"Corporal > Corporal-Econativa > Productos veganos"	https://naturalconexion.com/wp-content/uploads/2020/12/DSC09692-scaled.jpg%2Chttps://naturalconexion.com/wp-content/uploads/2020/09/Sello-vegano_Mesa-de-trabajo-1.jpg						
11829	5	"      
Con nuestros geles con extractos botánicos y minerales tu cuerpo lucirá su belleza natural. Regálate amor y cuidado, acompaña tus momentos de actividad física con los geles corporales y permite que la energía del poder natural habite en ti.
Ideal para tonificar y Reafirmar tu figura.
Ingredientes principales:

Extracto oleoso de Caléndula.
Aceite esencial de Naranja.
Extracto de Aloe vera.
Toronja.
Alcachofa.
Extracto de Fresa.
Menta.
Toronja.

¿Cómo se usa?
Aplicar una capa gruesa sobre la zona en la cual se desea el efecto tonificante; realizar masajes de forma circular hasta que el gel desaparezca. Acompañar de actividad física.
Nuestros productos:

No contaminan el agua.
Son 100% biodegradables.
Agroecológicos.
Naturales.
No contienen parabenos.
No son testados en animales.

¡Atrévete a conocer el poder natural!
"	new	11829	11829	"Gel con Extractos Botánicos y Minerales Frío 280ML"	"     "	"in stock"	"32900 COP"	https://naturalconexion.com/product/gel-frio-280gr/	https://naturalconexion.com/wp-content/uploads/2020/12/DSC09577.jpg	"Natural Conexión"	11829		"descuento 15 dia sin iva"	"Corporal > Corporal-Econativa > Productos veganos"	https://naturalconexion.com/wp-content/uploads/2020/12/DSC09692-scaled.jpg%2Chttps://naturalconexion.com/wp-content/uploads/2020/09/Sello-vegano_Mesa-de-trabajo-1.jpg						
12351	89	"Regala un Bono con un valor de 30.000 pesos, para que esa persona pueda disfrutar de los productos natural.
"	new	12351	12351	"Bono de Regalo 30.000"		"in stock"	"0 COP"	https://naturalconexion.com/product/bono-de-regalo-30-000/	https://naturalconexion.com/wp-content/uploads/2021/02/bono-30-mil.jpg	"Natural Conexión"	12351			"Bonos de regalo"							
12355	88	"Regala un Bono con un valor de 50.000 pesos, para que esa persona pueda disfrutar de los productos natural.
"	new	12355	12355	"Bono de Regalo 50.000"		"in stock"	"0 COP"	https://naturalconexion.com/product/bono-de-regalo-50-000/	https://naturalconexion.com/wp-content/uploads/2021/02/bono-50-mil.jpg	"Natural Conexión"	12355			"Bonos de regalo"							
12357	90	"Regala un Bono con un valor de 80.000 pesos, para que esa persona pueda disfrutar de los productos natural.
"	new	12357	12357	"Bono de Regalo 80.000"		"in stock"	"0 COP"	https://naturalconexion.com/product/bono-de-regalo-80-000/	https://naturalconexion.com/wp-content/uploads/2021/02/bono-80-mil.jpg	"Natural Conexión"	12357			"Bonos de regalo"							
12504		"      
Fórmula elaborada a base del extracto del aloe vera, potente regenerador celular y ayuda a nutrir a profundidad la piel.
Ideal para piel delicada, aporta a tu piel nutrición, hidratación, suavidad y vitalidad.
Ingredientes principales:

Glicerina vegetal.
Aceite de Chía. (Con certificación orgánica para cosmética natural)
Vitamina E.
Aloe vera.

¿Cómo se usa?
Lavar el rostro todas las mañanas realizando suaves masajes. Enjuagar con abundante agua.
Nuestros productos:

No contamina el agua
Son 100% biodegradable
Agroecológicos
Naturales
No contienen parabenos
No son testados en animales.

¡Disfruta de tu belleza natural! Pídelo hoy
"	new	12504	12504	"Jabón Barra Artesanal Aloe Vera 100GR"	"     "	"out of stock"	"19900 COP"	https://naturalconexion.com/product/jabon-en-barra-de-aloe-vera-100gr/	https://naturalconexion.com/wp-content/uploads/2021/02/DSC09623.jpg	"Natural Conexión"	12504		aloevera	"Corporal > Corporal-Econativa > Facial > Facial-Econativa > Piel Delicada > Piel Grasa > Piel Mixta > Piel Normal > Piel Seca > Productos veganos"	https://naturalconexion.com/wp-content/uploads/2021/09/jabon-barra-calendula.jpg%2Chttps://naturalconexion.com/wp-content/uploads/2020/09/Sello-vegano_Mesa-de-trabajo-1.jpg						
13104	5	"      
Nuestros Hidratantes y Protectores Labiales, están hechos a base de ingredientes naturales como la caléndula, la manzanilla, la cera de abejas y el aceite de oliva. La combinación de estos ingredientes, forman una barrera que te protege de los agentes externos como el sol, el viento y la polución; aportando hidratación y nutrición, además de regenerar los labios secos y agrietados.
La perfecta combinación de ingredientes naturales que cuidan, hidratan, nutren, protegen y regeneran tus labios. Solo para uso externo.
Ingredientes principales:

Caléndula.
Oliva.
Manzanilla.
Cera de Abejas

¿Cómo se usa?
Aplicar una capa fina en los labios, varias veces al día.
Precaución:
No exponer el producto a temperaturas extremas.
Nuestros productos:

No contaminan el agua.
Son 100% biodegradables.
Agroecológicos.
Naturales.
No contienen parabenos.
No son testados en animales.

¡Disfruta de tu belleza natural!
"	new	13104	13104	"Protector Labial Hidratante Caléndula y Manzanilla 5 gr"	"     "	"in stock"	"10900 COP"	https://naturalconexion.com/product/hidratante-y-protector-para-labios-de-naranja-5-gr/	https://naturalconexion.com/wp-content/uploads/2021/04/DSC09592.jpg	"Natural Conexión"	13104			"Facial > Facial-Econativa"	https://naturalconexion.com/wp-content/uploads/2021/11/DSC09711.jpg						
13115		"      
Que nunca te falte en tu rutina diaria la protección a tu piel, cuídala de manera natural. Hipoalergénico y dermatológicamente probado.  En el año 2017, recibió el Premio reconocimiento FLEP (Feria Latinoamericana de Eco productos y Eco servicios). Primer lugar en la categoría de Productos verdes.  Su fórmula con ingredientes activos naturales de origen vegetal y mineral es de fácil absorción. Libre de pantallas químicas. Actúa como una barrera física brindando una adecuada protección solar contra los rayos UVA Y UVB, cuidando la piel sin ocasionar efectos secundarios. Protege y suaviza la piel.
Ingredientes principales:

Caléndula.
Manzanilla.
Aloe vera.
Manteca de Karité.
Pepino.
Germen de Trigo.
Aceite de Oliva.
Dióxido de Titanio. (Pantalla física. Con certificación orgánica para cosmética natural)

¿Cómo se usa?
Aplicar en el rostro y cuello una fina capa del Protector Solar y masajear hasta su completa absorción. Aportará protección e hidratación a la piel.
Nuestros productos:

No contaminan el agua.
Libre de pantallas químicas.
Son 100% biodegradables.
Agroecológicos.
Naturales.
No contienen parabenos.
No son testados en animales.

Activa la belleza natural de tu piel  ¡Pídelo ya!
"	new	13115	13115	"Protector Solar con Extractos Botánicos / SPF 50+ Todo tipo de piel 30gr"	"     "	"out of stock"	"24900 COP"	https://naturalconexion.com/product/protector-solar-con-extractos-botanicos-spf-50-todo-tipo-de-piel-30gr/	https://naturalconexion.com/wp-content/uploads/2021/04/DSC09632.jpg	"Natural Conexión"	13115	top-30-days		"Corporal > Corporal-Econativa > Facial > Facial-Econativa > Piel Delicada > Piel Grasa > Piel Mixta > Piel Normal > Piel Seca"	https://naturalconexion.com/wp-content/uploads/2021/04/DSC09759.jpg						
13117	5	"Nuestro Jabón Artesanal de Azucena es ideal para regalarle a tu piel hidratación, nutrición, suavidad y vitalidad.
Ayuda a unificar el tono de la piel.
Ingredientes principales:

Glicerina vegetal.
Aceite de Chía. (Con certificación orgánica para cosmética natural)
Vitamina E.
Aloe vera.

¿Cómo se usa?
Lavar el rostro todas las mañanas realizando suaves masajes. Enjuagar con abundante agua.
Nuestros productos:

No contamina el agua
Son 100% biodegradable
Agroecológicos
Naturales
No contienen parabenos
No son testados en animales.

¡Disfruta de tu belleza natural! Pídelo hoy
"	new	13117	13117	"Jabón Barra Artesanal Azucenas 100GRr"	"Nuestro Jabón Artesanal de Azucena es ideal para regalarle a tu piel hidratación, nutrición, suavidad y vitalidad.
Ayuda a unificar el tono de la piel.
Ingredientes principales:

Glicerina vegetal.
Aceite de Chía. (Con certificación orgánica para cosmética natural)
Vitamina E.
Aloe vera.

¿Cómo se usa?
Lavar el rostro todas las mañanas realizando suaves masajes. Enjuagar con abundante agua.
Nuestros productos:

No contamina el agua
Son 100% biodegradable
Agroecológicos
Naturales
No contienen parabenos
No son testados en animales.

¡Disfruta de tu belleza natural! Pídelo hoy
"	"in stock"	"19900 COP"	https://naturalconexion.com/product/jabon-artesanal-azucenas-100gr/	https://naturalconexion.com/wp-content/uploads/2021/04/DSC09624.jpg	"Natural Conexión"	13117			"Facial > Facial-Econativa > Piel Delicada > Piel Grasa > Piel Mixta > Piel Normal > Piel Seca"	https://naturalconexion.com/wp-content/uploads/2021/09/jabon-barra-calendula.jpg%2Chttps://naturalconexion.com/wp-content/uploads/2020/09/Sello-vegano_Mesa-de-trabajo-1.jpg						
14953	5	"      
Nuestra mascarilla facial aporta hidratación, nutrición y equilibra el pH de la piel. Previene el envejecimiento prematuro y purifica la piel, absorbiendo las impurezas presentes en ella.
Ideal para piel delicada y seca.
 Ingredientes principales:

Caléndula
Manzanilla
Aloe Vera
Sachi Inchi
Arroz

¿Cómo se usa?
Aplicar una fina capa en el cuello y el rostro, con suaves masajes circulares. Dejar actuar entre 15-30 minutos. Enjugar con abundante agua.
Nuestros productos:

No contamina el agua
Son 100% biodegradable
Agroecológicos
Naturales
No contienen parabenos
No son testados en animales

Regálale suavidad y tersura a tu rostro ¡Pídelo ya!
"	new	14953	14953	"Mascarilla Facial Manzanilla y Caléndula 60 gr"	"     "	"in stock"	"16900 COP"	https://naturalconexion.com/product/mascarilla-de-manzanilla-y-calendula-60-gr/	https://naturalconexion.com/wp-content/uploads/2021/07/DSC09585.jpg	"Natural Conexión"	14953		"linea facial"	"Facial > Piel Normal > Piel Seca"	https://naturalconexion.com/wp-content/uploads/2021/07/DSC09702-scaled.jpg						
